"","sexo","civil","escolaridade","escolaridade_ancora","escolaridade_ancora2","tempo_de_empresa","esta_satisfeito","carga_horaria","outra_atividade","outra_atividade_ancora","pensa_empreendedor","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","teg","tendencia_risco","tendencia_criativa","necessidade_realizacao","tendencia_autonomia","tendencia_determinacao","escolaridade_fct","sexo_fct"
"1",1,1,1,"",3,3,1,3,1,"",2,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,22,2,3,7,2,8,"primario","masculino"
"2",1,3,1,"",2,34,1,2,1,"",3,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,19,3,4,3,1,8,"primario","masculino"
"3",1,2,1,"",2,12,1,2,1,"",2,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,26,3,7,5,5,6,"primario","masculino"
"4",1,1,1,"",3,5,1,3,1,"",1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,27,7,6,5,4,5,"primario","masculino"
"5",1,2,1,"",3,10,1,2,1,"",2,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,22,6,1,5,2,8,"primario","masculino"
"6",1,3,1,"",3,10,1,2,1,"",1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,32,5,8,8,2,9,"primario","masculino"
"7",1,2,2,"",3,3,1,1,1,"",3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,29,5,7,6,3,8,"ginasio","masculino"
"8",1,1,2,"",3,5,1,2,1,"",2,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,28,6,6,6,4,6,"ginasio","masculino"
"9",1,1,2,"",2,5,1,2,2,"Motoboy",3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,26,7,6,3,2,8,"ginasio","masculino"
"10",1,1,2,"",3,3,1,2,1,"",3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,26,6,5,6,2,7,"ginasio","masculino"
